"","Cruise","Haul","Yr","LonDec","LatDec","ICESCODE","Validity","AreaKmSq","Species","CatchKg","RaisedNo"
"117","IGFS2005",18,2005,-7.855,51.618,"VIIg","V",0.396916319146296,"WHG",22.228,161.4
"118","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"COD",8.15,8
"119","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"DAB",5.804,150.486
"120","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"GUG",1.694,44
"121","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"HAD",38.362,122
"122","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"HOM",2.765,33
"123","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"JOD",1.328,6
"124","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"LSD",28.24,49
"125","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"MAC",1.467,6
"126","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"MON",6.49,8
"127","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"NOP",0.177,40
"128","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"PLE",1.168,7
"129","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"POD",5.6,608.135
"130","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"SOL",0.895,5
"131","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"SPR",2.555,154.204
"132","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"THR",0.742,1
"133","IGFS2005",20,2005,-7.384,52.027,"VIIa","V",0.260854550145294,"WHG",79.195,600.663
"134","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"COD",1.602,3
"135","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"DAB",0.825,21
"136","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"GUG",1.443,29
"137","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"HAD",78.2,355.456
"138","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"HER",0.405,3
"139","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"HOM",0.016,3
"140","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"JOD",2.943,5
"141","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"LSD",6.51,24
"142","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"MAC",0.58,3
"143","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"MEG",0.497,1
"144","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"MON",1.019,2
"145","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"NOP",4.288,834.365
"146","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"POD",3.448,568.053
"147","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"SPR",0.705,40
"148","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"WHB",0.299,2
"149","IGFS2005",21,2005,-7.25,51.679,"VIIg","V",0.287164569295813,"WHG",116.81,649.227
"150","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"DAB",0.479,8
"151","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"GUG",4.778,126.896
"152","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"HAD",47.18,398.962
"153","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"HOM",0.307,39
"154","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"JOD",3.302,11
"155","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"LSD",5.35,12
"156","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"MAC",11.548,208.51
"157","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"MEG",1.2,2
"158","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"MON",5.42,2
"159","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"NOP",13.75,1763.98
"160","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"PLE",0.85,1
"161","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"POD",0.86,151.157
"162","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"SOL",0.899,2
"163","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"SPR",91.82,6616.611
"164","IGFS2005",22,2005,-7.087,51.804,"VIIg","V",0.320186218242772,"WHG",1.385,13
"165","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"DAB",63.14,1922.471
"166","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"DGS",1.41,1
"167","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"GUG",15.42,514.635
"168","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"HAD",122.347,2096.219
"169","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"HER",0.173,2
"170","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"HOM",5.812,617.988
"171","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"JOD",2.713,14
"172","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"LSD",10.18,17
"173","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"MAC",1.177,23
"174","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"MON",4.322,6
"175","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"NOP",0.217,30
"176","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"PLE",24.82,199
"177","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"POD",0.993,64
"178","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"SDR",0.565,1
"179","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"SOL",0.39,1
"180","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"SPR",18.84,1138.683
"181","IGFS2005",23,2005,-6.759,52.008,"VIIa","V",0.256645309506637,"WHG",134.171,3403.275
"182","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"DAB",0.636,20
"183","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"ESB",2.82,2
"184","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"GUG",2.14,61.062
"185","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"HAD",102.85,1919.944
"186","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"HOM",1.191,167.408
"187","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"JOD",0.992,3
"188","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"LSD",0.82,6
"189","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"MAC",0.082,1
"190","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"MEG",0.479,1
"191","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"MON",4.1,3
"192","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"NOP",1.463,154.444
"193","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"PLE",1.429,4
"194","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"POD",0.597,88.916
"195","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"POK",0.99,1
"196","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"SDR",4.304,4
"197","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"SOL",0.474,2
"198","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"SPR",31.532,2983.672
"199","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"THR",0.124,1
"200","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"WHB",0.103,3
"201","IGFS2005",24,2005,-6.492,51.732,"VIIg","V",0.311537830173836,"WHG",37.08,557.841
"202","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"CUR",0.04,1
"203","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"DAB",0.592,10
"204","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"HAD",78.06,1131.937
"205","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"HOM",0.132,6
"206","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"JOD",4.088,7
"207","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"LSD",8.23,21
"208","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"MAC",0.356,2
"209","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"MEG",1.588,4
"210","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"MON",1.486,2
"211","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"NOP",11.49,1101.534
"212","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"SOL",0.324,1
"213","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"THR",1.179,1
"214","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"WHB",1.175,29
"215","IGFS2005",25,2005,-6.475,51.592,"VIIg","V",0.403097139060153,"WHG",172.95,1404.782
"216","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"COD",4.16,5
"217","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"GUG",0.06,2
"218","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"HAD",102.71,662.628
"219","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"HER",0.138,3
"220","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"JOD",1.702,4
"221","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"LSD",24.16,66
"222","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"MON",2.5,2
"223","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"NOP",17.115,854.983
"224","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"POD",59.937,863.718
"225","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"SDR",1.785,3
"226","IGFS2005",26,2005,-5.868,51.75,"VIIg","V",0.368158940704213,"SPR",0.965,288.47
