"","SurveyCodeICES","longitude","latitude","time","Year","Haul_Code","Vessel_Code","Species_Code","Common_Name","Length_Split","Total_Number_Fish_Per_Hour","Junvenile_Number_Fish_Per_Hour","Adult_Number_Fish_Per_Hour"
"89","IGFS                    ",-8.265,55.563,"2013-01-01T00:00:00Z",2013,"33","EXP","COD","Atlantic Cod",23,20,0,20
"90","IGFS                    ",-8.323,55.824,"2013-01-01T00:00:00Z",2013,"34","EXP","COD","Atlantic Cod",23,0,0,0
"91","IGFS                    ",-8.673,55.671,"2013-01-01T00:00:00Z",2013,"35","EXP","COD","Atlantic Cod",23,2,0,2
"92","IGFS                    ",-8.603,55.452,"2013-01-01T00:00:00Z",2013,"36","EXP","COD","Atlantic Cod",23,0,0,0
"93","IGFS                    ",-8.675,55.309,"2013-01-01T00:00:00Z",2013,"37","EXP","COD","Atlantic Cod",23,0,0,0
"94","IGFS                    ",-9.619,55.216,"2013-01-01T00:00:00Z",2013,"38","EXP","COD","Atlantic Cod",23,0,0,0
"95","IGFS                    ",-9.127,55.332,"2013-01-01T00:00:00Z",2013,"39","EXP","COD","Atlantic Cod",23,0,0,0
"96","IGFS                    ",-8.667,54.863,"2013-01-01T00:00:00Z",2013,"41","EXP","COD","Atlantic Cod",23,0,0,0
"97","IGFS                    ",-8.355,54.581,"2013-01-01T00:00:00Z",2013,"42","EXP","COD","Atlantic Cod",23,0,0,0
"98","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","NPO","Norway Pout",NA,0,0,0
"99","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","PLE","European Plaice",12,0,0,0
"100","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","PTR","Painted/Small Eyed Ray",NA,0,0,0
"101","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","SDR","Spotted Ray",NA,0,0,0
"102","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","SDS","Starry Smoot Hound",NA,0,0,0
"103","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","SMH","Smooth Hound",NA,0,0,0
"104","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","SPR","Sprat",NA,0,0,0
"105","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","THR","Thornback Ray (Roker)",NA,0,0,0
"106","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","UNR","Undulate Ray",NA,0,0,0
"107","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","WAF","Black-bellied Anglerfish",20,8,2,6
"108","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","WHB","Blue Whiting",19,2918.16,2886.16,32
"109","IGFS                    ",-11.95,53.105,"2009-01-01T00:00:00Z",2009,"166","EXP","WHG","Whiting",20,10,0,10
"110","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","COD","Atlantic Cod",23,0,0,0
"111","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","CUR","Cuckoo Ray",NA,0,0,0
"112","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","DBM","Blackmouted Dogfish",NA,2,0,0
"113","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","DGN","Nurse Hound",NA,0,0,0
"114","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","DGS","Spurdog",NA,0,0,0
"115","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","GAG","Tope Shark",NA,0,0,0
"116","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","HAD","Haddock",20,0,0,0
"117","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","HER","Herring",17.5,0,0,0
"118","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","HKE","European Hake",20,88,2,86
"119","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","HOM","Horse Mackerel (Scad)",15,10,0,10
"120","IGFS                    ",-12.317,53.148,"2009-01-01T00:00:00Z",2009,"167","EXP","JAA","Blue Jack Mackerel ( Blue Scad)",NA,0,0,0
