"","Group.1","Group.2","Group.3","Group.4","Group.5","Group.6","AreaKmSq","CatchKg","RaisedNo"
"986","IGFS2010",2010,185,-10.366,54.29,"VIIb",6.12215935106828,5999.758,103217.182
"987","IGFS2009",2009,1,-10.352,54.293,"VIIb",5.53916187763242,166.624,1304.577
"988","IGFS2007",2007,64,-9.918,54.296,"VIIb",3.93527988262108,1379.585,10585.874
"989","IGFS2006",2006,83,-9.918,54.296,"VIIb",4.72917321801472,52.145,698.785
"990","IGFS2006",2006,84,-10.333,54.299,"VIIb",7.3990554362047,2167.883,17314.138
"991","IGFS2007",2007,65,-10.327,54.3,"VIIb",7.00358975064307,1599.076,16940.096
"992","IGFS2008",2008,58,-9.919,54.301,"VIIb",4.4134422615972,103.967,1563.59
"993","IGFS2015",2015,150,-9.919,54.301,"VIIb",4.1823913131569,3402.676,82090.209
"994","IGFS2009",2009,61,-10.315,54.302,"VIIb",7.57738970973636,2043.647,33720.089
"995","IGFS2013",2013,174,-10.313,54.302,"VIIb",3.35225160173733,1183.294,47157.069
"996","IGFS2016",2016,120,-10.312,54.302,"VIIb",6.15521337338507,765.22,8720.486
"997","IGFS2010",2010,186,-9.906,54.303,"VIIb",1.69025690718095,3028.985,29315.085
"998","IGFS2009",2009,60,-9.907,54.304,"VIIb",3.28247283979104,99.494,1070.092
"999","IGFS2012",2012,184,-9.919,54.305,"VIIb",2.57456941636046,5000.896,53982.111
"1000","IGFS2009",2009,65,-9.265,54.321,"VIIb",3.32330837835141,83.982,1509.139
"1001","IGFS2015",2015,148,-9.264,54.321,"VIIb",4.83110104122107,284.983,2442.068
"1002","IGFS2017",2017,80,-9.274,54.322,"VIIb",4.02662741575662,178.475,2779.488
"1003","IGFS2016",2016,115,-9.273,54.322,"VIIb",3.75781224514808,282.055,3681.036
"1004","IGFS2014",2014,51,-9.271,54.322,"VIIb",3.58099321186693,111.933,1190.872
"1005","IGFS2012",2012,182,-9.271,54.322,"VIIb",2.18412298268327,25.174,284
"1006","IGFS2008",2008,57,-9.623,54.339,"VIIb",3.31675559722867,66.092,714.187
"1007","IGFS2009",2009,59,-9.627,54.34,"VIIb",4.11169740974834,555.221,4493.722
"1008","IGFS2016",2016,117,-9.626,54.34,"VIIb",3.90020922516465,228.149,1981.318
"1009","IGFS2014",2014,52,-9.624,54.34,"VIIb",4.31095023798898,1389.885,32405.397
"1010","IGFS2013",2013,172,-9.631,54.341,"VIIb",3.13646302842316,990.233,13987.205
"1011","IGFS2007",2007,63,-9.629,54.341,"VIIb",3.38937382715276,28.276,676.922
"1012","IGFS2012",2012,183,-9.627,54.341,"VIIb",3.05467203236286,2009.611,18034.585
"1013","IGFS2006",2006,82,-9.643,54.342,"VIIb",3.19265529279092,48.566,560.61
"1014","IGFS2016",2016,114,-8.821,54.395,"VIIb",5.22888245360374,329.62,6517.728
"1015","IGFS2014",2014,50,-8.841,54.424,"VIIb",4.73735799390857,197.973,4225.816
"1016","IGFS2015",2015,151,-10.16,54.43,"VIIb",8.19927908813558,357.533,7990.771
"1017","IGFS2017",2017,83,-10.168,54.436,"VIIb",4.77646315659146,464.564,2513.787
"1018","IGFS2016",2016,119,-10.187,54.459,"VIIb",6.60808225648445,514.403,4967.611
"1019","IGFS2006",2006,80,-8.835,54.462,"VIIb",3.41689670001945,212.04,3051.267
"1020","IGFS2007",2007,60,-8.833,54.462,"VIIb",4.68463373067386,240.502,5192.894
"1021","IGFS2010",2010,187,-8.827,54.462,"VIIb",4.86906416817876,309.11,4518.285
"1022","IGFS2009",2009,64,-8.82,54.462,"VIIb",3.38089864044207,228.512,7713.37
"1023","IGFS2017",2017,79,-8.806,54.463,"VIIb",3.99178645637904,439.512,8814.327
"1024","IGFS2010",2010,188,-9.404,54.464,"VIIb",8.20927524589679,303.33,2571.585
"1025","IGFS2017",2017,81,-9.409,54.465,"VIIb",6.56164343898959,2425.772,23563.83
"1026","IGFS2015",2015,149,-9.609,54.466,"VIIb",6.97267104956436,343.46,8189.4
"1027","IGFS2006",2006,81,-9.416,54.469,"VIIb",8.76629388923912,695.53,3875.768
"1028","IGFS2009",2009,66,-9.67,54.479,"VIIb",5.96384572726329,117.104,1190.52
"1029","IGFS2013",2013,171,-9.514,54.483,"VIIb",2.87017302721508,556.89,13910.04
"1030","IGFS2012",2012,181,-9.512,54.483,"VIIb",5.66373551765646,2147.938,41690.82
"1031","IGFS2008",2008,55,-9.461,54.483,"VIIb",6.76091251688954,2022.001,18128.947
"1032","IGFS2007",2007,62,-9.515,54.484,"VIIb",7.89419293421305,170.565,3863.356
"1033","IGFS2016",2016,118,-9.848,54.486,"VIIb",4.38377423015578,647.4,4652.997
"1034","IGFS2014",2014,53,-9.842,54.486,"VIIb",3.81548124731408,262.033,2851.125
"1035","IGFS2017",2017,82,-9.833,54.486,"VIIb",5.76088308951057,735.526,4972.301
"1036","IGFS2013",2013,173,-9.831,54.486,"VIIb",6.06477190299763,410.051,7469.047
"1037","IGFS2012",2012,180,-9.899,54.488,"VIIb",5.41014658960663,420.56,5308.451
"1038","IGFS2008",2008,56,-9.684,54.502,"VIIb",3.39125849521543,1670.911,12160.509
"1039","IGFS2010",2010,175,-12.152,52.53,"VIIc",2.85338817929934,165.711,2364.613
"1040","IGFS2007",2007,185,-12.164,52.549,"VIIc",1.87064503965241,307.147,4873.018
"1041","IGFS2005",2005,11,-12.169,52.559,"VIIc",1.70235908615732,66.416,1012.479
"1042","IGFS2008",2008,87,-12.176,52.566,"VIIc",2.46815490426797,245.942,4206.427
"1043","IGFS2006",2006,95,-12.179,52.575,"VIIc",2.74443086110643,51.866,671.645
"1044","IGFS2009",2009,171,-12.182,52.577,"VIIc",1.91079562568941,63.038,1340.884
"1045","IGFS2016",2016,104,-12.054,52.701,"VIIc",4.67584712598795,305.113,4938.113
"1046","IGFS2013",2013,148,-12.295,52.702,"VIIc",1.95345732734521,344.739,4272.683
"1047","IGFS2010",2010,142,-12.054,52.702,"VIIc",5.63263737610749,140.288,1292.318
"1048","IGFS2012",2012,156,-12.056,52.706,"VIIc",4.19036808065254,306.159,8512.299
"1049","IGFS2008",2008,85,-12.057,52.707,"VIIc",4.78808986982187,103.596,2265.493
"1050","IGFS2007",2007,186,-12.058,52.709,"VIIc",3.25178888623714,3387.531,26349.824
"1051","IGFS2005",2005,12,-12.298,52.721,"VIIc",2.16255316594285,353.193,5319.775
"1052","IGFS2009",2009,170,-12.068,52.726,"VIIc",4.81671625782077,1070.448,5937.44
"1053","IGFS2014",2014,67,-12.071,52.732,"VIIc",3.29281894130306,13.313,67
"1054","IGFS2006",2006,13,-12.073,52.733,"VIIc",2.20292573675226,345.851,7023.392
"1055","IGFS2010",2010,143,-12.304,52.738,"VIIc",3.43591340640164,135.813,1341.209
"1056","IGFS2008",2008,86,-12.306,52.743,"VIIc",2.70237226948717,60.083,398.732
"1057","IGFS2009",2009,169,-12.305,52.743,"VIIc",3.85070799035503,50.292,686.334
"1058","IGFS2014",2014,66,-12.284,52.888,"VIIc",1.86440866561885,141.397,732.11
