metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg,fldShotLatDecimalDegrees,fldShotLonDecimalDegrees,fldHaulLatDecimalDegrees,fldHaulLonDecimalDegrees,Gear_Type,TowDurationMin,AreaKmSq
TOUGHBOOK2127_19112006,00:00.0,2006,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2006,136,Catch,Male,21,19,0.115930907,50.53,-8.037,50.513,-8.082,Groundgear_A,30,0.478525035
MI3073102_28112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,124,Catch,Male,36,4,0.129097103,51.186,-8.573,51.206,-8.532,Groundgear_A,30,0.423785156
TOUGHBOOK123_29102005,00:00.0,2005,10,Celtic Explorer,22,Smalls,IGFS2005,33,Catch,Male,35,21,0.63051061,51.218,-6.6,51.195,-6.63,Groundgear_A,30,0.406887717
TOUGHBOOK1139_20112003,00:00.0,2003,11,Celtic Explorer,19,NoFishingGround,IGFS2003,107,Catch,Female,22,1,0.007363007,52.029,-7.379,52.044,-7.341,Groundgear_A,30,0.263162863
MI3073114_05122011,00:00.0,2011,12,Celtic Explorer,19,NoFishingGround,IGFS2011,138,Catch,Male,32,11,0.250814533,51.509,-10.043,51.487,-10.086,Groundgear_A,30,0.339772629
D6MF0R0J44_07112008,00:00.0,2008,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2008,107,Catch,Male,39,6,0.248472009,50.907,-7.75,50.884,-7.785,Groundgear_A,30,0.404825898
WKSTN111_07112009,00:00.0,2009,11,Celtic Explorer,22,Smalls,IGFS2009,97,Catch,Male,34,6,0.163860207,51.41,-6.361,51.379,-6.379,Groundgear_A,30,0.436661287
MI307477_01122014,00:00.0,2014,12,Celtic Explorer,22,Smalls,IGFS2014,120,Catch,Female,28,1,0.013570644,51.179,-6.133,51.148,-6.147,Groundgear_A,30,0.357079888
WKSTN116_23112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,83,Catch,Female,21,1,0.006135508,50.646,-7.295,50.651,-7.348,Groundgear_A,30,0.416851332
MI46381_02122014,00:00.0,2014,12,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2014,124,CATCH,Male,28,2,0.030569267,50.646,-7.294,50.651,-7.344,Groundgear_A,30,0.418837853
TOUGHBOOK124_30102005,00:00.0,2005,10,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2005,36,Catch,Male,41,3,0.150932155,50.646,-7.616,50.612,-7.602,Groundgear_A,30,0.47699178
MI3058147_14112013,00:00.0,2013,11,Celtic Explorer,19,Galley Ground 2,IGFS2013,118,Catch,Male,40,11,0.505403041,51.29,-9.222,51.257,-9.239,Groundgear_A,30,0.302488991
MI307427_26112012,00:00.0,2012,11,Celtic Explorer,19,Galley Ground 4,IGFS2012,104,Catch,Male,27,1,0.013438369,51.09,-8.275,51.105,-8.228,Groundgear_A,30,0.413037475
WKSTN121_23112010,00:00.0,2010,11,Celtic Explorer,2021,NoFishingGround,IGFS2010,88,Catch,Male,38,1,0.038765319,51.329,-7.425,51.349,-7.466,Groundgear_A,30,0.340404123
MI3073106_01122011,00:00.0,2011,12,Celtic Explorer,19,Galley Ground 3,IGFS2011,128,Catch,Male,34,1,0.027163038,51.517,-8.87,51.49,-8.901,Groundgear_A,30,0.323359726
D6MF0R0J57_18112008,00:00.0,2008,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2008,145,Catch,Male,50,1,0.092093822,50.624,-8.242,50.642,-8.202,Groundgear_A,31,0.384807968
TOUGHBOOK134_20112005,00:00.0,2005,11,Celtic Explorer,99,E Stanton,IGFS2005,119,Catch,Female,30,1,0.015795624,56.327,-8.034,56.33,-7.986,Groundgear_D,30,0.382480684
