metadata_id,Date,Year,Month,Vessel,Functional_Unit,Fishing_Grounds,Survey_Code,Haul,Sample_Type,Sex,CLmm,NepCount,PredWt_Kg
TOUGHBOOK1142_23112003,00:00.0,2003,11,Celtic Explorer,14,E Irish Sea,IGFS2003,123,Catch,Male,32,1,0.024973637
TOUGHBOOK216_12112006,00:00.0,2006,11,Celtic Explorer,17,Aran,IGFS2006,110,Catch,Male,9,2,0.000856381
WKSTN115_22112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,82,Catch,Male,32,1,0.022790343
3DYAA01482142_12112004,00:00.0,2004,11,Celtic Explorer,15,W Irish Sea,IGFS2004,133,Catch,Male,25,2,0.021607762
WKSTN114_22112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,81,Catch,Male,32,14,0.317021954
TOUGHBOOK2126_19112006,00:00.0,2006,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2006,135,Catch,Male,33,7,0.177500027
MI307376_15112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,63,Catch,Female,41,2,0.083797769
MI307438_01122012,00:00.0,2012,12,Celtic Explorer,19,NoFishingGround,IGFS2012,120,Catch,Male,32,1,0.02333398
MI307486_03122014,00:00.0,2014,12,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2014,129,Catch,Female,31,2,0.036709661
WKSTN133_28112010,00:00.0,2010,11,Celtic Explorer,2021,NoFishingGround,IGFS2010,114,Catch,Male,36,1,0.034381573
TOUGHBOOK2127_19112006,00:00.0,2006,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2006,136,Catch,Male,29,16,0.269457406
MI3073103_28112011,00:00.0,2011,11,Celtic Explorer,19,NoFishingGround,IGFS2011,125,Catch,Male,35,2,0.062556547
MI3073113_05122011,00:00.0,2011,12,Celtic Explorer,19,Bantry Bay,IGFS2011,137,Catch,Male,43,1,0.056730828
TOUGHBOOK116_18112004,00:00.0,2004,11,Celtic Explorer,13,NoFishingGround,IGFS2004,154,Catch,Female,22,75,0.480257965
WKSTN111_07112009,00:00.0,2009,11,Celtic Explorer,22,Smalls,IGFS2009,97,Catch,Male,35,13,0.390843814
MI307483_02122014,00:00.0,2014,12,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2014,127,Catch,Male,22,1,0.006967334
TOUGHBOOK128_01112005,00:00.0,2005,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2005,47,Catch,Female,27,9,0.112730376
TOUGHBOOK233_26112006,00:00.0,2006,11,Celtic Explorer,19,NoFishingGround,IGFS2006,173,Catch,Female,25,1,0.010131154
WKSTN16_15112010,00:00.0,2010,11,Celtic Explorer,17,Galway bay,IGFS2010,54,Catch,Male,32,1,0.022477281
MI307475_30112014,00:00.0,2014,11,Celtic Explorer,22,Smalls,IGFS2014,118,Catch,Female,19,6,0.028613394
D6MF0R0J30_24112007,00:00.0,2007,11,Celtic Explorer,19,Cork Channels,IGFS2007,175,Catch,Male,27,3,0.041167456
TOUGHBOOK1135_19112003,00:00.0,2003,11,Celtic Explorer,22,Smalls,IGFS2003,102,Catch,Male,23,9,0.07241389
WKSTN143_11122010,00:00.0,2010,12,Celtic Explorer,19,Kenmare Bay,IGFS2010,165,Catch,Male,23,32,0.256099632
MI3058124_01112013,00:00.0,2013,11,Celtic Explorer,2021,NoFishingGround,IGFS2013,67,Catch,Female,26,1,0.011427403
MI46381_02122014,00:00.0,2014,12,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2014,124,CATCH,Male,40,5,0.22957477
MI307459_23112014,00:00.0,2014,11,Celtic Explorer,19,Bantry Bay,IGFS2014,85,Catch,Male,39,1,0.043624486
3DYAA01482137_11112004,00:00.0,2004,11,Celtic Explorer,15,W Irish Sea,IGFS2004,129,Catch,Female,15,3,0.007249144
MI307430_27112012,00:00.0,2012,11,Celtic Explorer,22,NoFishingGround,IGFS2012,108,Catch,Male,40,4,0.185542047
D6MF0R0J21_16112007,00:00.0,2007,11,Celtic Explorer,22,Smalls,IGFS2007,141,Catch,Male,18,3,0.01131005
TOUGHBOOK1115_27102003,00:00.0,2003,10,Celtic Explorer,99,NoFishingGround,IGFS2003,26,Catch,Male,27,7,0.079353677
MI3074102_15122014,00:00.0,2014,12,Celtic Explorer,17,Aran,IGFS2014,175,Catch,Female,12,1,0.001242889
WKSTN133_21112009,00:00.0,2009,11,Celtic Explorer,17,Aran,IGFS2009,152,Catch,Male,25,22,0.230450883
WKSTN115_22112010,00:00.0,2010,11,Celtic Explorer,2021,"Labadie, Jones & Cockburn",IGFS2010,82,Catch,Male,47,1,0.079094257
D6MF0R0J12_27092007,00:00.0,2007,9,Celtic Explorer,99,E Stanton,IGFS2007,23,Catch,Male,35,3,0.086770167
MI3073126_15122011,00:00.0,2011,12,Celtic Explorer,17,Aran,IGFS2011,171,Catch,Male,49,1,0.08534031
MI307426_26112012,00:00.0,2012,11,Celtic Explorer,2021,Galley Ground 4,IGFS2012,103,Catch,Male,38,1,0.040675068
