fldPrimeStation,Yr,LonDec,LatDec,ARG,BLR,BOF,COD,CUR,DAB,DFL,DGS,DII,ESB,GSS,GUG,HAD,HER,HKE,HOM,JOD,LBI,LSD,MAC,MEG,MON,NOP,PLE,POD,POK,POL,PTR,SAR,SDR,SHR,SKT,SOL,SPR,THR,UNR,WAF,WHB,WHG,CatchKg
66,2014,-9.623,52.77,0,2.8,0,0,0,7.31,0,0,4.33,0,0,2.787,15.56,0,0,47.663,0,0,19.59,0,0,0.82,0.479,18.2,1.946,0,0,0,0,0.548,0,0,7.403,3.332,0,0,0,0,12.825,145.593
FG139,2014,-6.203,51.598,0,2.911,0.073,3.294,1.408,9.59,0,0,0,0,0,0.736,2878.217,1.143,5.811,0,1.834,0,50.42,0.464,3.47,0.713,60.436,0.72,22.14,0,0,0,0,11.111,0,0,1.826,0,0,0,0,1.816,927.515,3985.648
53A,2015,-8.254,51.615,0,0,0.014,3.52,0,2.43,0,0,0,0,0,2.08,2.22,0.036,5.128,0.63,0.174,0,24.58,0,5.35,3.97,17.854,8.77,10.448,2.66,0,0,0,5.49,0,0,1.534,0.496,0,0,0,0.34,11.99,109.714
CC321,2016,-9.079,50.877,0,0,11.293,18.77,4.493,0,6.71,8.54,0.56,0,0,0.43,143.87,0,5.73,0.583,7.44,0,1.077,0.338,3.05,8.34,3.1,1.833,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,248.317
FG100,2009,-7.363,55.502,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1,0,6.663,0.187,0,3.008,0.359,0,0,0,0,0.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.71
31,2011,-7.22,55.663,0,31.93,0,0,0,8.332,0,3.311,0,0,0,5.11,4.33,0.587,0,74.69,6.16,0,12.68,424.734,0,0,0,43.249,0.016,0,0,0,0,16.52,0,0,0,0,0,0,0,0,1.285,632.934
SC573,2009,-6.673,55.922,0,0,0,0,0,6.825,0,7.557,0,0,0,5.452,0.709,0.77,0,0.296,0,0,1.447,37.567,0,0,0,8.174,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,68.822
FG166,2008,-7.586,51.427,0,0,0.025,4.78,0,1.353,0,0,0,0,0,62.89,330.046,0,36.439,0.102,0.741,0,5.96,0,1.328,5.98,14.27,1.607,20.8,0,0,0,0,0,0,0,0,0.033,0,0,0,0,101.786,588.14
MB41,2008,-8.477,55.282,0,0,0,0,0,0.182,0,0,0,0,0,0.962,15.58,2.307,3.57,698.46,1.018,0,17.07,21.35,0.294,0,7.326,0.568,4.794,0.608,0,0,0,0,0,0,0.386,0,0,0,0,0,6.27,780.745
FG58,2010,-9.828,51.329,0,3.03,0,6.381,0,0.032,0,0,0,0,0,0.142,141.76,1.207,1.054,0.436,0,0,13.947,0.655,0.858,1.068,65.616,0.198,40.51,0,0,0,0,0,0,0,0,0,0,0,0,2.119,231.98,510.993
